"Simulation","Demand","OrderQuantity","NumberOfOrders","TotalCost"
102,15112.5070795846,679.537396318691,22.2394045735447,9785.33825967441
103,15415.0459768008,686.305552920254,22.4609081351728,9882.79977076384
104,14205.469361637,658.829249554819,21.5616859318797,9487.14150180823
105,15582.6662332022,690.026839455382,22.5826958347028,9936.38632771337
106,15364.9912420204,685.190384192569,22.4244116620618,9866.74133184009
107,15571.9695424347,689.789965151631,22.5749435757762,9932.9753357625
108,13967.7040390861,653.292379422289,21.3804790612097,9407.41052530661
109,15218.0093367464,681.905236306211,22.3168976076212,9819.43517508138
110,15734.4226294226,693.378711503904,22.6923935915127,9984.65331296091
111,13773.2908285634,648.729938341221,21.2311626372312,9341.71133624765
112,14275.5470267608,660.452300113086,21.6148040128204,9510.5134436347
113,14706.6240004919,670.349980827046,21.9387251750908,9653.0394004747
114,15287.6143454959,683.462924992319,22.3678765686781,9841.86590505388
115,16096.1056187897,701.302672972099,22.9517243254969,10098.7585970084
116,16196.9565582776,703.496267911997,23.023514547349,10130.3463293831
117,15480.1871522671,687.754124427627,22.50831598451,9903.65921247112
118,15754.1313845623,693.812834409678,22.7066012665598,9990.90468639284
119,14619.0692065631,668.351513181678,21.8733240192265,9624.2621791379
120,14852.3578248481,673.663174248516,22.0471570847199,9700.7494132277
121,14983.9323847418,676.640527842003,22.144597859856,9743.62332963074
122,15773.1692287104,694.231921456667,22.7203168583987,9996.93954333572
123,16028.0912995048,699.8194203206,22.903181641004,10077.3997873292
124,15515.4795680266,688.53766377533,22.5339591199027,9914.94218556097
125,15015.8746526285,677.361363768189,22.1681888808871,9754.00337292612
126,15420.4591142556,686.426043576527,22.4648514702465,9884.53483720522
127,15398.1254166447,685.928782849264,22.4485774640958,9877.37427861578
128,15113.5616836692,679.561106150775,22.2401805325155,9785.679681439
129,14384.827695163,662.975391827925,21.6973780210783,9546.84598579828
130,14805.8780906429,672.60825077521,22.0126322767799,9685.55850647309
131,15135.9252290178,680.063693464637,22.2566288635506,9792.91694292651
132,13831.7737673447,650.105768727245,21.2761898643418,9361.52330499135
133,15757.4893266685,693.886772405761,22.7090210583436,9991.96939415707
134,14608.7991184125,668.116759852697,21.8656378589177,9620.88099990131
135,15639.0559794454,691.27422795057,22.6235195051474,9954.34873237652
136,14549.3909900216,666.756844659728,21.8211348058178,9601.29893882996
137,16410.6957284809,708.122816155541,23.1749286339564,10196.9685757903
138,15964.0635281851,698.420227352671,22.8573900110198,10057.2514393636
139,15161.3702476582,680.635080952003,22.2753288391366,9801.14492746447
140,16143.9435018915,702.34404240989,22.985805427349,10113.754299368
